run_id,total_violations,final10_nav_reward,final10_safe_reward,final_h_value,mean_h,mean_m_dir,mean_grad_dot,mean_stability_grad_norm,runtime_sec
82,9096,-271.6034652345594,-3.3713441371917723,-0.32932601012289525,0.5388691344070434,0.2875335116224722,-60.28779799496441,6.355354965116394,867.039041519165
83,6235,-188.76819547418924,-3.142700046300888,0.33478993363678455,0.6726732811892033,-32.15091084510228,-17.2469246809126,4.449014314579213,873.0174849033356
84,9601,-133.8301781075458,-6.065817588567734,-0.4341720713302493,0.47395630573987957,0.3561247496379952,-30.278542335582046,7.986220231933644,865.1520359516144
85,5870,-208.3114372983589,-8.153693395853043,0.49836734812706707,0.6970546438765525,-0.0865152534982289,-21.134988052661345,4.759296515375797,864.0248236656189
86,9160,-136.71719710071142,-3.2269425809383394,-0.3632165931165218,0.5270234176945686,-0.07059980877710148,-39.08995002094525,7.492769111079573,898.2556567192078
87,5525,-432.5347507782957,-4.201298832893372,0.731338220089674,0.7025905810749531,0.4539441583467106,-10.507727430484232,5.927144629137491,862.7215530872345
88,7670,-995.9675613330413,-5.971558463573456,-0.09899311177432538,0.6003783741128444,-3.055749142051469,-99.03333631544456,10.57916661982358,988.7815365791321
89,6170,-178.55412265511703,-5.678914952278137,0.385953688621521,0.6696024702548979,0.16992910335176417,-31.835197827165068,5.733636150372465,993.6879918575287
90,6638,-638.499232280664,-4.440282785892487,0.1827750824391842,0.662072582782507,0.3558686698956482,-38.77686098457465,6.30857813731362,960.429235458374
91,5503,-174.1259690747782,-3.908195298910141,0.6465603740885854,0.7013693843364716,0.5877932846476636,-12.326538640749767,5.395525751856182,864.6430134773254
92,6074,-170.08744639301455,-3.416508251428604,0.5237901270389557,0.6836712356030942,0.4400134187548067,-27.056386762363786,4.977362674547529,952.107996225357
93,9258,-842.2177094926777,-24.652526831626894,-0.37649444360286,0.532370884721279,0.30789655112795605,-45.29785958210496,6.442768227345919,956.6964159011841
94,5532,-131.01088324545304,-4.953794997930527,0.5407445661723613,0.6930393844974042,0.19528767794435173,-12.851195555170202,4.293066496064855,867.2753841876984
95,14876,-175.53604410310572,-8.059242272377015,-1.123146291077137,0.25556835206031797,0.2629788223615097,-63.35032253671153,8.335240361161253,868.3939847946167
96,8722,-123.60633718952758,-3.6421853423118593,-0.22935387175530195,0.5285644949591161,0.32060892101724514,-21.46169840434246,5.535677603200149,866.9395694732666
97,9577,-112.43500103349206,-5.545282602310181,-0.4500440390780568,0.5108575795197488,0.32726101409913905,-74.27074099492665,6.9337523949756035,868.1055254936218
98,6977,-290.0337136433999,-6.742349916696549,0.20887349490076304,0.6393125443959237,0.3102004705365288,-49.0504220338917,6.671148687259709,865.4326860904694
99,8570,-169.94856951486872,-5.334729886054992,-0.26166989374905825,0.5644415555918217,0.32764115227032087,-46.85652460500676,6.425332846485986,864.0097568035126
100,7866,-769.4028098660342,-13.3398067176342,-0.01659202016890049,0.597857081208229,0.35668715207020685,-67.18470180110062,8.783028613503717,861.01695728302
